rank,title,rating,votes,year,director_actors,genre,link,poster
115,头脑特工队,8.8,802890,2015,导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,喜剧 动画 冒险,https://movie.douban.com/subject/10533913/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2874927470.webp
130,花样年华,8.8,802793,2000,导演: 王家卫 Kar Wai Wong   主演: 张曼玉 Maggie Cheung / 梁朝伟 Tony Leu...,剧情 爱情,https://movie.douban.com/subject/1291557/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2918312477.webp
114,哈利·波特与火焰杯,8.8,798991,2005,导演: 迈克·内威尔 Mike Newell   主演: 丹尼尔·雷德克里夫 Daniel Radclif...,悬疑 奇幻 冒险,https://movie.douban.com/subject/1309055/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913456904.webp
110,爱在黎明破晓前,8.8,797707,1995,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...,剧情 爱情,https://movie.douban.com/subject/1296339/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.webp
143,九品芝麻官,8.8,792445,1994,导演: 王晶 Jing Wong   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...,剧情 喜剧 古装,https://movie.douban.com/subject/1297518/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p648370300.webp
124,时空恋旅人,8.8,790395,2013,导演: 理查德·柯蒂斯 Richard Curtis   主演: 多姆纳尔·格里森 Domhnall Gl...,喜剧 爱情 奇幻,https://movie.douban.com/subject/10577869/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.webp
121,断背山,8.8,781178,2005,导演: 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,剧情 爱情 同性 家庭,https://movie.douban.com/subject/1418834/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2169104127.webp
113,被嫌弃的松子的一生,8.8,773657,2006,导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E...,剧情 歌舞,https://movie.douban.com/subject/1787291/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.webp
137,怪兽电力公司,8.8,768859,2001,导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman   主演: 约...,儿童 喜剧 动画 奇幻 冒险,https://movie.douban.com/subject/1291579/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.webp
152,告白,8.8,742749,2010,导演: 中岛哲也 Tetsuya Nakashima   主演: 松隆子 Takako Matsu / 冈田将生 ...,剧情 悬疑,https://movie.douban.com/subject/4268598/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p689520756.webp
156,模仿游戏,8.8,719140,2014,导演: 莫滕·泰杜姆 Morten Tyldum   主演: 本尼迪克特·康伯巴奇 Benedict C...,剧情 传记 战争 同性,https://movie.douban.com/subject/10463953/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2922986728.webp
136,阳光灿烂的日子,8.8,694520,1994,导演: 姜文 Wen Jiang   主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,剧情 爱情,https://movie.douban.com/subject/1291875/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.webp
145,被解救的姜戈,8.8,690760,2012,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 杰米·福克斯 Jamie Foxx /...,剧情 动作 西部 冒险,https://movie.douban.com/subject/6307447/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1800813767.webp
146,幸福终点站,8.8,640897,2004,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...,喜剧 剧情 爱情,https://movie.douban.com/subject/1292274/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2181698213.webp
166,阳光姐妹淘,8.8,637960,2011,导演: 姜炯哲 Hyeong-Cheol Kang   主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,剧情 喜剧,https://movie.douban.com/subject/4917726/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.webp
158,大鱼,8.8,626220,2003,导演: 蒂姆·波顿 Tim Burton   主演: 伊万·麦克格雷格 Ewan McGregor / 阿...,剧情 爱情 奇幻 冒险,https://movie.douban.com/subject/1291545/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p692813374.webp
151,萤火之森,8.8,609815,2011,导演: 大森贵弘 Takahiro Omori   主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K...,剧情 爱情 动画 奇幻,https://movie.douban.com/subject/5989818/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1675053073.webp
175,无间道2,8.8,566158,2003,导演: 刘伟强 Andrew Lau / 麦兆辉 Alan Mak   主演: 陈冠希 Edison Chen / ...,剧情 犯罪 惊悚,https://movie.douban.com/subject/1307106/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p958008320.webp
183,海街日记,8.8,520413,2015,导演: 是枝裕和 Hirokazu Koreeda   主演: 绫濑遥 Haruka Ayase / 长泽雅美 M...,剧情 家庭,https://movie.douban.com/subject/25895901/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2603364117.webp
176,达拉斯买家俱乐部,8.8,505431,2013,导演: 让-马克·瓦雷 Jean-Marc Vallée   主演: 马修·麦康纳 Matthew McCon...,剧情 传记 同性,https://movie.douban.com/subject/1793929/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.webp
168,黑客帝国3：矩阵革命,8.8,496856,2003,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,动作 科幻,https://movie.douban.com/subject/1302467/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461818.webp
189,纵横四海,8.8,473258,1991,导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,剧情 喜剧 动作 犯罪,https://movie.douban.com/subject/1295409/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597918718.webp
219,终结者2：审判日,8.8,385557,1991,导演: 詹姆斯·卡梅隆 James Cameron   主演: 阿诺·施瓦辛格 Arnold Schwarz...,动作 科幻,https://movie.douban.com/subject/1291844/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.webp
220,大红灯笼高高挂,8.8,371247,1991,导演: 张艺谋 Yimou Zhang   主演: 巩俐 Li Gong / 马精武 Jingwu Ma / 何赛...,剧情,https://movie.douban.com/subject/1293323/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1254404823.webp
231,罗生门,8.8,358102,1950,导演: 黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune / 京町子 ...,剧情 犯罪 悬疑,https://movie.douban.com/subject/1291879/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1598883511.webp
225,千钧一发,8.8,350055,1997,导演: 安德鲁·尼科尔 Andrew Niccol   主演: 伊桑·霍克 Ethan Hawke / 乌玛...,剧情 科幻 惊悚,https://movie.douban.com/subject/1300117/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792423963.webp
237,步履不停,8.8,327616,2008,导演: 是枝裕和 Hirokazu Koreeda   主演: 阿部宽 Hiroshi Abe / 夏川结衣 Yu...,剧情 家庭,https://movie.douban.com/subject/2222996/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2375245718.webp
240,千年女优,8.8,317893,2001,导演: 今敏 Satoshi Kon   主演: 庄司美代子 Miyoko Shôji / 小山茉美 Mam...,动画 剧情 爱情,https://movie.douban.com/subject/1307394/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215102596.webp
247,魂断蓝桥,8.8,310536,1940,导演: 茂文·勒鲁瓦 Mervyn LeRoy   主演: 费雯·丽 Vivien Leigh / 罗伯特·...,剧情 爱情 战争,https://movie.douban.com/subject/1293964/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2351134499.webp
